char_1,char_2
Quirinus Quirrell,Nicolas Flamel
Quirinus Quirrell,Norbert
Quirinus Quirrell,Oliver Wood
Quirinus Quirrell,Peeves
Quirinus Quirrell,Pomona Sprout
Quirinus Quirrell,Poppy Pomfrey
Quirinus Quirrell,Rolanda Hooch
Quirinus Quirrell,Ron Weasley
Quirinus Quirrell,Rubeus Hagrid
Quirinus Quirrell,Seamus Finnigan
Quirinus Quirrell,Severus Snape
Millicent Bulstrode,Albus Dumbledore
Millicent Bulstrode,Cedric Diggory
Millicent Bulstrode,Dolores Umbridge
Millicent Bulstrode,Draco Malfoy
Millicent Bulstrode,Gregory Goyle
Millicent Bulstrode,Harry Potter
Millicent Bulstrode,Hermione Granger
Millicent Bulstrode,Luna Lovegood
Millicent Bulstrode,Neville Longbottom
Millicent Bulstrode,Pansy Parkinson
Millicent Bulstrode,Ron Weasley
Millicent Bulstrode,Severus Snape
Millicent Bulstrode,Sirius Black
Millicent Bulstrode,Vincent Crabbe
Helena Ravenclaw,Albus Dumbledore
Helena Ravenclaw,Alecto Carrow
Helena Ravenclaw,Amycus Carrow
Helena Ravenclaw,Bloody Baron
Helena Ravenclaw,Filius Flitwick
Helena Ravenclaw,Harry Potter
Helena Ravenclaw,Hermione Granger
Helena Ravenclaw,Katie Bell
Helena Ravenclaw,Kingsley Shacklebolt
Helena Ravenclaw,Lord Voldemort
Helena Ravenclaw,Minerva McGonagall
Helena Ravenclaw,Nicholas de Mimsy-Porpington
Helena Ravenclaw,Rowena Ravenclaw
Helena Ravenclaw,Rubeus Hagrid
Helena Ravenclaw,Severus Snape
Rowena Ravenclaw,Bloody Baron
Rowena Ravenclaw,Godric Gryffindor
Rowena Ravenclaw,Helena Ravenclaw
Rowena Ravenclaw,Helga Hufflepuff
Rowena Ravenclaw,Salazar Slytherin
Rowena Ravenclaw,Xenophilius Lovegood
Mary Riddle,Frank Bryce
Mary Riddle,Lord Voldemort
Mary Riddle,Marvolo Gaunt
Mary Riddle,Merope Gaune
Mary Riddle,Morfin Gaunt
Mary Riddle,Thomas Riddle
Mary Riddle,Tom Riddle Sr.
Thomas Riddle,Frank Bryce
Thomas Riddle,Lord Voldemort
Thomas Riddle,Marvolo Gaunt
Thomas Riddle,Mary Riddle
Thomas Riddle,Merope Gaune
Thomas Riddle,Morfin Gaunt
Thomas Riddle,Tom Riddle Sr.
Tom Riddle Sr.,Albus Dumbledore
Tom Riddle Sr.,Barty Crouch Jr.
Tom Riddle Sr.,Bob Ogden
Tom Riddle Sr.,Cadmus Peverell
Tom Riddle Sr.,Frank Bryce
Tom Riddle Sr.,Harry Potter
Tom Riddle Sr.,Lord Voldemort
Tom Riddle Sr.,Marvolo Gaunt
Tom Riddle Sr.,Mary Riddle
Tom Riddle Sr.,Merope Gaune
Tom Riddle Sr.,Morfin Gaunt
Tom Riddle Sr.,Peter Pettigrew
Tom Riddle Sr.,Salazar Slytherin
Tom Riddle Sr.,Scabbers
Tom Riddle Sr.,Severus Snape
Tom Riddle Sr.,Thomas Riddle
Tom Riddle Sr.,Wormtail
Lord Voldemort,Aberforth Dumbledore
Lord Voldemort,"Alaster ""Mad-Eye"" Moody"
Lord Voldemort,Albus Dumbledore
Lord Voldemort,Alecto Carrow
Lord Voldemort,Amelia Bones
Lord Voldemort,Amycus Carrow
Lord Voldemort,Andromeda Tonks
Lord Voldemort,Antonin Dolohov
Lord Voldemort,Aragog
Lord Voldemort,Augusta Longbottom
Lord Voldemort,Augustus Rookwood
Lord Voldemort,Barty Crouch Jr.
Lord Voldemort,Barty Crouch Sr.
Lord Voldemort,Bathilda Bagshot
Lord Voldemort,Bellatrix Lestrange
Lord Voldemort,Bill Weasley
Lord Voldemort,Cedric Diggory
Lord Voldemort,Charity Burbage
Lord Voldemort,Colin Creevey
Lord Voldemort,Cornelius Fudge
Lord Voldemort,Dean Thomas
Lord Voldemort,Dedalus Diggle
Lord Voldemort,Dobby
Lord Voldemort,Draco Malfoy
Lord Voldemort,Emmeline Vance
Lord Voldemort,Fenrir Greyback
Lord Voldemort,Fleur Delacour
Lord Voldemort,Fluffy
Lord Voldemort,Frank Bryce
Lord Voldemort,Fred Weasley
Lord Voldemort,Garrick Ollivander
Lord Voldemort,Gellert Grindelwald
Lord Voldemort,Goyle Sr
Lord Voldemort,Gregorovitch
Lord Voldemort,Harry Potter
Lord Voldemort,Helena Ravenclaw
Lord Voldemort,Helga Hufflepuff
Lord Voldemort,Hepzibah Smith
Lord Voldemort,Hermione Granger
Lord Voldemort,Horace Slughorn
Lord Voldemort,Igor Karkaroff
Lord Voldemort,James Potter
Lord Voldemort,Katie Bell
Lord Voldemort,Kingsley Shacklebolt
Lord Voldemort,Kreacher
Lord Voldemort,Lee Jordan
Lord Voldemort,Lucius Malfoy
Lord Voldemort,Luna Lovegood
Lord Voldemort,Marvolo Gaunt
Lord Voldemort,Mary Riddle
Lord Voldemort,Merope Gaune
Lord Voldemort,Michael Corner
Lord Voldemort,Minerva McGonagall
Lord Voldemort,Moaning Myrtle
Lord Voldemort,Molly Weasley
Lord Voldemort,Morfin Gaunt
Lord Voldemort,Nagini
Lord Voldemort,Narcissa Malfoy
Lord Voldemort,Neville Longbottom
Lord Voldemort,Nymphadora Tonks
Lord Voldemort,Olympe Maxime
Lord Voldemort,Parvati Patil
Lord Voldemort,Percy Weasley
Lord Voldemort,Peter Pettigrew
Lord Voldemort,Petunia Dursley
Lord Voldemort,Pius Thicknesse
Lord Voldemort,Pomona Sprout
Lord Voldemort,Quirinus Quirrell
Lord Voldemort,Rabastan Lestrange
Lord Voldemort,Regulus Black
Lord Voldemort,Rita Skeeter
Lord Voldemort,Rodolphus Lestrange
Lord Voldemort,Ron Weasley
Lord Voldemort,Rubeus Hagrid
Lord Voldemort,Rufus Scrimgeour
Lord Voldemort,Salazar Slytherin
Lord Voldemort,Scabbers
Lord Voldemort,Severus Snape
Lord Voldemort,Sirius Black
Lord Voldemort,Sturgis Podmore
Lord Voldemort,Sybill Trelawney
Lord Voldemort,Ted Tonks
Lord Voldemort,Theodore Nott
Lord Voldemort,Thomas Riddle
Lord Voldemort,Tom Riddle Sr.
Lord Voldemort,"Vincent Crabbe, Sr."
Lord Voldemort,Wormtail
Augustus Rookwood,Aberforth Dumbledore
Augustus Rookwood,Albus Dumbledore
Augustus Rookwood,Barty Crouch Sr.
Augustus Rookwood,Bellatrix Lestrange
Augustus Rookwood,Fred Weasley
Augustus Rookwood,Harry Potter
Augustus Rookwood,Igor Karkaroff
Augustus Rookwood,Kingsley Shacklebolt
Augustus Rookwood,Lord Voldemort
Augustus Rookwood,Lucius Malfoy
Augustus Rookwood,Ludo Bagman
Augustus Rookwood,Percy Weasley
Augustus Rookwood,Severus Snape
Augustus Rookwood,Sirius Black
Rufus Scrimgeour,"Alaster ""Mad-Eye"" Moody"
Rufus Scrimgeour,Albus Dumbledore
Rufus Scrimgeour,Arthur Weasley
Rufus Scrimgeour,Bill Weasley
Rufus Scrimgeour,Cormac McLaggen
Rufus Scrimgeour,Cornelius Fudge
Rufus Scrimgeour,Dolores Umbridge
Rufus Scrimgeour,Elphias Doge
Rufus Scrimgeour,Everard
Rufus Scrimgeour,Fleur Delacour
Rufus Scrimgeour,Fred Weasley
Rufus Scrimgeour,George Weasley
Rufus Scrimgeour,Ginny Weasley
Rufus Scrimgeour,Harry Potter
Rufus Scrimgeour,Hermione Granger
Rufus Scrimgeour,Kingsley Shacklebolt
Rufus Scrimgeour,Lord Voldemort
Rufus Scrimgeour,Minerva McGonagall
Rufus Scrimgeour,Molly Weasley
Rufus Scrimgeour,Nymphadora Tonks
Rufus Scrimgeour,Percy Weasley
Rufus Scrimgeour,Pius Thicknesse
Rufus Scrimgeour,Ron Weasley
Rufus Scrimgeour,Sirius Black
Rufus Scrimgeour,Stan Shunpike
Rufus Scrimgeour,Sybill Trelawney
Rufus Scrimgeour,Xenophilius Lovegood
Kingsley Shacklebolt,"Alaster ""Mad-Eye"" Moody"
Kingsley Shacklebolt,Albus Dumbledore
Kingsley Shacklebolt,Alecto Carrow
Kingsley Shacklebolt,Amycus Carrow
Kingsley Shacklebolt,Arthur Weasley
Kingsley Shacklebolt,Augustus Rookwood
Kingsley Shacklebolt,Bellatrix Lestrange
Kingsley Shacklebolt,Bill Weasley
Kingsley Shacklebolt,Charlie Weasley
Kingsley Shacklebolt,Cornelius Fudge
Kingsley Shacklebolt,Dedalus Diggle
Kingsley Shacklebolt,Dolores Umbridge
Kingsley Shacklebolt,Draco Malfoy
Kingsley Shacklebolt,Elphias Doge
Kingsley Shacklebolt,Emmeline Vance
Kingsley Shacklebolt,Fat Friar
Kingsley Shacklebolt,Fenrir Greyback
Kingsley Shacklebolt,Fleur Delacour
Kingsley Shacklebolt,Fred Weasley
Kingsley Shacklebolt,George Weasley
Kingsley Shacklebolt,Ginny Weasley
Kingsley Shacklebolt,Harry Potter
Kingsley Shacklebolt,Helena Ravenclaw
Kingsley Shacklebolt,Hermione Granger
Kingsley Shacklebolt,Horace Slughorn
Kingsley Shacklebolt,James Potter
Kingsley Shacklebolt,Lee Jordan
Kingsley Shacklebolt,Lord Voldemort
Kingsley Shacklebolt,Marietta Edgecombe
Kingsley Shacklebolt,Minerva McGonagall
Kingsley Shacklebolt,Molly Weasley
Kingsley Shacklebolt,Nagini
Kingsley Shacklebolt,Neville Longbottom
Kingsley Shacklebolt,Nicholas de Mimsy-Porpington
Kingsley Shacklebolt,Nymphadora Tonks
Kingsley Shacklebolt,Percy Weasley
Kingsley Shacklebolt,Pius Thicknesse
Kingsley Shacklebolt,Remus Lupin
Kingsley Shacklebolt,Ron Weasley
Kingsley Shacklebolt,Rufus Scrimgeour
Kingsley Shacklebolt,Severus Snape
Kingsley Shacklebolt,Sirius Black
Kingsley Shacklebolt,Sturgis Podmore
Charity Burbage,Albus Dumbledore
Charity Burbage,Alecto Carrow
Charity Burbage,Antonin Dolohov
Charity Burbage,Draco Malfoy
Charity Burbage,Ernie Macmillan
Charity Burbage,Hermione Granger
Charity Burbage,Lord Voldemort
Charity Burbage,Minerva McGonagall
Charity Burbage,Nagini
Charity Burbage,Narcissa Malfoy
Charity Burbage,Percy Weasley
Charity Burbage,Severus Snape
Charity Burbage,Sybill Trelawney
Stan Shunpike,Cornelius Fudge
Stan Shunpike,Harry Potter
Stan Shunpike,Neville Longbottom
Stan Shunpike,Nymphadora Tonks
Stan Shunpike,Rufus Scrimgeour
Rita Skeeter,Albus Dumbledore
Rita Skeeter,Ariana Dumbledore
Rita Skeeter,Barty Crouch Jr.
Rita Skeeter,Bathilda Bagshot
Rita Skeeter,Bellatrix Lestrange
Rita Skeeter,Bill Weasley
Rita Skeeter,Cedric Diggory
Rita Skeeter,Charlie Weasley
Rita Skeeter,Cho Chang
Rita Skeeter,Colin Creevey
Rita Skeeter,Cornelius Fudge
Rita Skeeter,Dolores Umbridge
Rita Skeeter,Draco Malfoy
Rita Skeeter,Elphias Doge
Rita Skeeter,Fleur Delacour
Rita Skeeter,Ginny Weasley
Rita Skeeter,Harry Potter
Rita Skeeter,Hermione Granger
Rita Skeeter,Igor Karkaroff
Rita Skeeter,Lord Voldemort
Rita Skeeter,Ludo Bagman
Rita Skeeter,Luna Lovegood
Rita Skeeter,Molly Weasley
Rita Skeeter,Pansy Parkinson
Rita Skeeter,Percy Weasley
Rita Skeeter,Ron Weasley
Rita Skeeter,Rubeus Hagrid
Rita Skeeter,Seamus Finnigan
Rita Skeeter,Severus Snape
Rita Skeeter,Sybill Trelawney
Rita Skeeter,Viktor Krum
Rita Skeeter,Wilhelmina Grubbly-Plank
Rita Skeeter,Xenophilius Lovegood
Horace Slughorn,Albus Dumbledore
Horace Slughorn,Aragog
Horace Slughorn,Argus Filch
Horace Slughorn,Arthur Weasley
Horace Slughorn,Blaise Zabini
Horace Slughorn,Charlie Weasley
Horace Slughorn,Cormac McLaggen
